key,english,yoruba,igbo_DRAFT,pidgin_DRAFT,reviewer_notes
signin,Sign in,Wọlé,Banye,Sign in,
signout,Sign out,Jáde,Puo,Comot,
back,Back,Padà,Laghachi,Go back,
nav_overview,Overview,Ìsọníṣókí,Nchikota,Overview,
nav_system,The system,Ètò náà,Usoro ahu,How e dey work,
nav_impact,Impact,Ipa,Mmetuta,Why e matter,
nav_fees,Fees,Owó,Ugwo,Money matter,
nav_verify,Verify,Ṣàyẹ̀wò,Nyochaa,Check am,
nav_testing,My testing,Àyẹ̀wò mi,Nnwale m,My test,
nav_queue,Laboratory queue,Àkọ́sílẹ̀ ilé-ìwádìí,Kwu ulo nyocha,Lab queue,
nav_team,My team,Àwọn òṣìṣẹ́ mi,Ndi otu m,My people,
nav_water,Water testing,Àyẹ̀wò omi,Nnwale mmiri,Water test,
nav_review,Review,Àtúnyẹ̀wò,Nyocha,Review,
nav_certificates,Certificates,Ìwé-ẹ̀rí,Asambodo,Certificate,
nav_analytics,Analytics,Ìṣirò,Nyocha data,Report,
nav_audit,Audit trail,Àkọsílẹ̀ ìṣàkóso,Ndeko omume,Audit trail,
nav_enforcement,Enforcement,Ìmúṣẹ,Mmanye iwu,Enforcement,
nav_accreditation,Accreditation,Ìfọwọ́sí,Nkwenye,Accreditation,
nav_ledger,Escrow ledger,Ìwé-owó ìṣúra,Akwukwo ego escrow,Escrow ledger,
nav_releases,Releases,Ìtúsílẹ̀,Nhapu ego,Release,
nav_fund,Fund,Owó-ìṣúra,Ego,Fund,
nav_reconcile,Reconciliation,Ìbámu,Nkweko akaunti,Reconciliation,
hero_eyebrow,"Statewide, live compliance",Ìbámu tí ń lọ lọ́wọ́ kákiri ìpínlẹ̀,"Na steeti niile, nrube isi ndu","Everywhere for Lagos, live compliance",
hero_title,"Every plate in Lagos, backed by a verified food handler.","Gbogbo àwo oúnjẹ ní Èkó, pẹ̀lú olùtọ́jú oúnjẹ tí a ti ṣàyẹ̀wò.","Efere obula na Lagos, nwere onye na-ejikwa nri e nyochara.","Every plate for Lagos, na food handler wey dem don check dey behind am.",
hero_lede,"SafePlate registers, tests, certifies and monitors every food handler in Lagos State, through accredited laboratories, with payments held in escrow and released only on approved results.","SafePlate ń forúkọsílẹ̀, ń ṣàyẹ̀wò, ń fúnni ní ìwé-ẹ̀rí, ó sì ń bójútó gbogbo olùtọ́jú oúnjẹ ní Ìpínlẹ̀ Èkó, nípasẹ̀ àwọn ilé-ìwádìí tí a fọwọ́sí, pẹ̀lú owó tí a fi pamọ́ tí a ó tú sílẹ̀ lẹ́yìn ìfọwọ́sí àbájáde.","SafePlate na-edebanye aha, na-anwale, na-enye asambodo ma na-elekota onye obula na-ejikwa nri na Steeti Lagos, site na ulo nyocha akwadoro, ebe a na-edobe ugwo na escrow ma hapu ya naani mgbe a kwadoro nsonaazu.","SafePlate dey register, test, certify and monitor every food handler for Lagos State, through labs wey dem approve, with payment wey dey inside escrow wey dem go only release after dem approve result.",
cta_register,Register as a food handler,Forúkọsílẹ̀ gẹ́gẹ́ bí olùtọ́jú oúnjẹ,Debanye aha dika onye na-ejikwa nri,Register as food handler,
cta_verify,Verify a certificate,Ṣàyẹ̀wò ìwé-ẹ̀rí,Nyochaa asambodo,Check certificate,
chip_active,active certificates,ìwé-ẹ̀rí tí ń ṣiṣẹ́,asambodo na-aru oru,certificate wey dey active,
chip_compliance,compliance,ìbámu,nrube isi,compliance,
chip_secure,Escrow-secured payments,Ìsanwó tí a dáàbò bò,Ikwu ugwo escrow chekwara,Payment wey escrow dey guard,
hero_model,"A transparent, self-sustaining model, with no hidden charges.","Ètò tó ṣe kedere, tó ń gbọ́ ara rẹ̀, láìsí owó ìkọ̀kọ̀.","Usoro doro anya, nke na-akwado onwe ya, enweghi ugwo zoro ezo.","Model wey clear, wey fit carry himself, no hidden charge.",
sys_kicker,The system,Ètò náà,Usoro ahu,How e dey work,
sys_title,"Four pillars, one accountable platform","Òpó mẹ́rin, pẹpẹ ìṣirò kan","Ogidi ano, otu ikpo okwu na-aza ajuju","Four pillar, one platform wey dey answer question",
imp_kicker,Why it matters,Ìdí tí ó fi ṣe pàtàkì,Ihe kpatara o ji di mkpa,Why e matter,
imp_title,The cost of unsafe food is measured in lives,Iye owó oúnjẹ tí kò ní ààbò ni a fi ẹ̀mí wọn wọ̀n,A na-atu onu ahia nri na-adighi mma na ndu,Food wey no safe dey cost life,
fees_kicker,Transparent fees,Owó tó ṣe kedere,Ugwo doro anya,Fee wey clear,
fees_title,"What you pay, and exactly where it goes","Ohun tí o ń san, àti ibi tí ó ń lọ gan-an","Ihe i na-akwu, na ebe o na-aga","Wetin you dey pay, and where the money dey go",
verify_kicker,Public verification,Ìdánilójú gbogbo ènìyàn,Nyocha oha,Public check,
verify_title,Verify a food handler certificate,Ṣàyẹ̀wò ìwé-ẹ̀rí olùtọ́jú oúnjẹ,Nyochaa asambodo onye na-ejikwa nri,Check food handler certificate,
verify_sub,"Enter a SAFEPLATE ID to confirm status, panel and expiry. No account needed.","Tẹ ID SAFEPLATE sí i láti mọ ipò, àyẹ̀wò àti ọjọ́ ìparí. Kò sí àkàǹtì tí a nílò.","Tinye SAFEPLATE ID iji kwado onodu, nnwale na oge o ga-agwu. I choghi akaunti.","Put SAFEPLATE ID make you confirm status, panel and when e go expire. You no need account.",
verify_label,Certificate ID,ID Ìwé-ẹ̀rí,ID asambodo,Certificate ID,
verify_btn,Verify certificate,Ṣàyẹ̀wò ìwé-ẹ̀rí,Nyochaa asambodo,Check certificate,
verify_notfound,No certificate matches that ID. Check the ID and try again.,Kò sí ìwé-ẹ̀rí tí ó bá ID yẹn mu. Ṣàyẹ̀wò ID kí o sì tún gbìyànjú.,O dighi asambodo dabara na ID ahu. Lelee ID ahu ma nwaa ozo.,No certificate match that ID. Check the ID well well and try again.,
fh_title,Your testing,Àyẹ̀wò rẹ,Nnwale gi,Your test,
fh_s1,Register and get your SAFEPLATE ID,Forúkọsílẹ̀ kí o sì gba ID SAFEPLATE rẹ,Debanye aha ma nweta SAFEPLATE ID gi,Register make you get your SAFEPLATE ID,
fh_s2,Your mandatory test panel,Àkójọ àyẹ̀wò dandan rẹ,Nnwale i ga-eme,Test wey you must do,
fh_s3,Choose an accredited laboratory,Yan ilé-ìwádìí tí a fọwọ́sí,Horo ulo nyocha akwadoro,Choose lab wey dem approve,
fh_s4,Pay into escrow,San sí ìṣúra ààbò,Kwuo ego na escrow,Pay into escrow,
lbl_fullname,Full name,Orúkọ kíkún,Aha gi zuru ezu,Your full name,
lbl_phone,Phone number,Nọ́mbà fóònù,Nomba ekwenti,Phone number,
lbl_nin,"NIN (optional, verified when provided)",NIN (àṣàyàn),"NIN (nhoro, anyi ga-enyocha ya ma i tinye ya)","NIN (optional, we go verify am if you put am)",
lbl_email,Email (optional),Ímeèlì (àṣàyàn),Email (nhoro),Email (optional),
lbl_employer,Employer (optional),Agbaniṣíṣẹ́ (àṣàyàn),Onye i na-aruru oru (nhoro),Where you dey work (optional),
btn_create_id,Create my SAFEPLATE ID,Ṣẹ̀dá ID SAFEPLATE mi,Mepuata SAFEPLATE ID m,Create my SAFEPLATE ID,
btn_choose_lab,Choose a laboratory,Yan ilé-ìwádìí,Horo ulo nyocha,Choose lab,
fh_mandatory,Mandatory,Dandan,Iwu kwadoro,Compulsory,
fh_id_assigned,SAFEPLATE ID assigned:,ID SAFEPLATE tí a fún ọ:,E nyere SAFEPLATE ID:,Dem don give you SAFEPLATE ID:,
fh_done,You are registered and paid. Your test is scheduled.,"A ti forúkọsílẹ̀ rẹ, a sì ti san. A ti ṣètò àyẹ̀wò rẹ.",I debanyela aha ma kwuo ugwo. A haziela nnwale gi.,You don register and you don pay. Dem don fix your test.,
